## [BeGaze]
## Converted from:	E:\SMI-A\woods002\Participant 1-[8c0e3f91-eaa1-4953-8e86-7161fe265993]\Participant 1-2-recording.idf
## Date:	21.09.2018 09:48:33
## Version:	BeGaze 3.7.59
## IDF Version:	10
## Sample Rate:	120
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	8131
## Reversed:	none
## [Run]
## Subject:	Participant 1 (1)
## Description:	Run2
## [Calibration]
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, DIAMETER, POR, EYEPOSITION, GAZEVECTOR, FRAMECOUNTER
##
Time;Type;Trial;L Dia X [px];L Dia Y [px];L Pupil Diameter [mm];R Dia X [px];R Dia Y [px];R Pupil Diameter [mm];B POR X [px];B POR Y [px];L POR X [px];L POR Y [px];R POR X [px];R POR Y [px];L EPOS X;L EPOS Y;L EPOS Z;R EPOS X;R EPOS Y;R EPOS Z;L GVEC X;L GVEC Y;L GVEC Z;R GVEC X;R GVEC Y;R GVEC Z;Frame;Aux1
350112446;SMP;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;00:00:00:02;
350120687;SMP;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;00:00:00:02;
350128985;SMP;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;00:00:00:02;
350137272;SMP;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;00:00:00:02;
350145532;SMP;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;00:00:00:03;
350162074;SMP;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;00:00:00:03;
350170346;SMP;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;00:00:00:03;
350178639;SMP;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;00:00:00:03;
350186908;SMP;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;00:00:00:03;
350195178;SMP;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;00:00:00:03;
